,datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable,timedate,Hour,Day,Month,Year
266,1/2/2016 5:00,1/2/2016 0:00,Hydro,602.6,0.01,TRUE,1/2/2016 0:00,0,2,1,2016
270,1/2/2016 5:00,1/2/2016 0:00,Other Renewables,604.7,0,TRUE,1/2/2016 0:00,0,2,1,2016
271,1/2/2016 5:00,1/2/2016 0:00,Solar,0,0,TRUE,1/2/2016 0:00,0,2,1,2016
273,1/2/2016 5:00,1/2/2016 0:00,Wind,3307.3,0.04,TRUE,1/2/2016 0:00,0,2,1,2016
277,1/2/2016 6:00,1/2/2016 1:00,Hydro,598.6,0.01,TRUE,1/2/2016 1:00,1,2,1,2016
281,1/2/2016 6:00,1/2/2016 1:00,Other Renewables,576.8,0.01,TRUE,1/2/2016 1:00,1,2,1,2016
282,1/2/2016 6:00,1/2/2016 1:00,Solar,0,0,TRUE,1/2/2016 1:00,1,2,1,2016
284,1/2/2016 6:00,1/2/2016 1:00,Wind,3292.3,0.04,TRUE,1/2/2016 1:00,1,2,1,2016
288,1/2/2016 7:00,1/2/2016 2:00,Hydro,601.7,0.01,TRUE,1/2/2016 2:00,2,2,1,2016
292,1/2/2016 7:00,1/2/2016 2:00,Other Renewables,570.8,0.01,TRUE,1/2/2016 2:00,2,2,1,2016
293,1/2/2016 7:00,1/2/2016 2:00,Solar,0,0,TRUE,1/2/2016 2:00,2,2,1,2016
295,1/2/2016 7:00,1/2/2016 2:00,Wind,3179.8,0.04,TRUE,1/2/2016 2:00,2,2,1,2016
300,1/2/2016 8:00,1/2/2016 3:00,Hydro,642.8,0.01,TRUE,1/2/2016 3:00,3,2,1,2016
302,1/2/2016 8:00,1/2/2016 3:00,Wind,2794.6,0.04,TRUE,1/2/2016 3:00,3,2,1,2016
306,1/2/2016 8:00,1/2/2016 3:00,Other Renewables,551.6,0,TRUE,1/2/2016 3:00,3,2,1,2016
307,1/2/2016 8:00,1/2/2016 3:00,Solar,0,0,TRUE,1/2/2016 3:00,3,2,1,2016
310,1/2/2016 9:00,1/2/2016 4:00,Hydro,585.1,0.01,TRUE,1/2/2016 4:00,4,2,1,2016
314,1/2/2016 9:00,1/2/2016 4:00,Other Renewables,553.9,0,TRUE,1/2/2016 4:00,4,2,1,2016
315,1/2/2016 9:00,1/2/2016 4:00,Solar,0,0,TRUE,1/2/2016 4:00,4,2,1,2016
317,1/2/2016 9:00,1/2/2016 4:00,Wind,2438.8,0.03,TRUE,1/2/2016 4:00,4,2,1,2016
321,1/2/2016 10:00,1/2/2016 5:00,Hydro,638.1,0.01,TRUE,1/2/2016 5:00,5,2,1,2016
325,1/2/2016 10:00,1/2/2016 5:00,Wind,2095.7,0.03,TRUE,1/2/2016 5:00,5,2,1,2016
