,Facility Name,Fuel,Fuel Cost ($/MMBtu),Gas price,Gas_Hubs,Heat rate (MMBtu/MWh),Marginal Cost ($/MWh),ORIS,Plant nameplate capacity (MW),State,Unit Group,VOM ($/MWh),Running Capacity (MW)
102,Wolf Hills Energy,GAS,2.0578,2.0578,Transco Zone 6 Non NY,9.12280701754386,25.772912280701753,55285,285,VA,Combustion turbine,7.0,115828.00000000001
103,William C. Dale,COAL,2.3274043715847013,2.3599,Lebanon,8.930555555555555,25.78501404068004,1385,216,KY,Coal boiler,5.0,116044.00000000001
104,Chalk Point,GAS,2.0578,2.0578,Transco Zone 6 Non NY,11.176803928976199,25.99962712504722,1571,2647,MD,Coal boiler,3.0,118691.00000000001
105,Rosemary Power Station,GAS,2.475,2.475,Transco Zone 5,9.316666666666666,26.05875,50555,180,NC,Combined cycle,3.0,118871.00000000001
106,Chesterfield Power Station,COAL,2.3274043715847013,2.0578,Transco Zone 6 Non NY,9.06196165601556,26.090849173343553,3797,1799.5,VA,Coal boiler,5.0,120670.50000000001
107,McKee Run,GAS,2.9644,2.9644,Transco Zone 6 NY,7.804232804232805,26.134867724867725,599,151.2,DE,Coal boiler,3.0,120821.70000000001
108,Gen J M Gavin,COAL,2.3274043715847013,2.3599,Lebanon,9.181538461538462,26.36915275325769,8102,2600,OH,Coal boiler,5.0,123421.70000000001
109,Mountaineer (1301),COAL,2.3274043715847013,2.2114,Columbia Gas,9.2,26.41212021857925,6264,1300,WV,Coal boiler,5.0,124721.70000000001
110,W H Zimmer Generating Station,COAL,2.3274043715847013,2.3599,Lebanon,9.46969696969697,27.039814124855127,6019,1425.6,OH,Coal boiler,5.0,126147.30000000002
111,Keystone,COAL,2.3274043715847013,1.4,Dominion South Point,9.511677282377919,27.13751928810926,3136,1884,PA,Coal boiler,5.0,128031.30000000002
112,Altavista Power Station,,2.0,2.0578,Transco Zone 6 Non NY,11.082981715893109,27.165963431786217,10773,71.1,VA,Coal boiler,5.0,128102.40000000002
113,Southampton Power Station,,2.0,2.0578,Transco Zone 6 Non NY,11.251758087201127,27.503516174402254,10774,71.1,VA,Coal boiler,5.0,128173.50000000003
114,"LSP University Park, LLC",GAS,2.4471,2.4471,Chicago City Gate,8.388567493112948,27.527663512396693,55640,726,IL,Combustion turbine,7.0,128899.50000000003
115,Bruce Mansfield,COAL,2.3274043715847013,1.4,Dominion South Point,9.722374229323995,27.627896283511106,6094,2741.1,PA,Coal boiler,5.0,131640.60000000003
