Hour,Day,Month,Year,System load (MW),ORIS ID,Fuel,Marginal Cost ($/MWh),CO2 emissions rate (tons/MWh),NOx emisisons rate (tons/MWh),SO2 emissions rate (tons/MWh)
17,14,10,2016,80203.53,7836,GAS,20.002257336343117,0.5775297992071684,0.0001809078803674467,3.2117690249591833e-06
18,14,10,2016,80159.173,50561,GAS,19.52613185067514,0.4773220155648826,0.00011102214634383039,2.655646571254276e-06
19,14,10,2016,80966.918,7836,GAS,20.002257336343117,0.5775297992071684,0.0001809078803674467,3.2117690249591833e-06
20,14,10,2016,82891.364,7835,GAS,20.236814891416753,0.5613202727822885,0.00016079644783712548,3.1238141446213064e-06
21,14,10,2016,81636.23,7836,GAS,20.002257336343117,0.5775297992071684,0.0001809078803674467,3.2117690249591833e-06
22,14,10,2016,78791.256,1571,GAS,17.306309029089533,0.737325768232607,0.0007390138587819165,0.000298756439349211
23,14,10,2016,74726.247,55347,GAS,15.95813953488372,0.5493006151423199,0.00015352444280185534,3.0604426755411425e-06
24,14,10,2016,69888.853,3140,COAL,24.590423684674704,0.8803133143567544,0.0017031805355596425,0.0015568331541498445
1,15,10,2016,65687.975,55239,GAS,13.195104128607964,0.5832792041690795,5.482159603354528e-05,3.245803801560447e-06
2,15,10,2016,63209.312,2398,GAS,12.883612794138369,0.6451951614746082,9.51329287277088e-05,3.5922334047529087e-06
3,15,10,2016,61805.609,58260,GAS,12.520445591631571,0.368630821025632,2.077078703753693e-05,2.051276483831287e-06
4,15,10,2016,61211.303,58260,GAS,12.520445591631571,0.368630821025632,2.077078703753693e-05,2.051276483831287e-06
5,15,10,2016,61582.02,58260,GAS,12.520445591631571,0.368630821025632,2.077078703753693e-05,2.051276483831287e-06
6,15,10,2016,63135.478,2398,GAS,12.883612794138369,0.6451951614746082,9.51329287277088e-05,3.5922334047529087e-06
7,15,10,2016,66325.09,5083,GAS,13.366782006920415,0.448081759205512,4.1372512287226396e-05,2.4841434180507333e-06
8,15,10,2016,69803.28,2378,COAL,14.316340333622215,0.9507192649668659,0.002034429992194859,0.0012340255824211397
9,15,10,2016,72384.526,10099,GAS,15.609665427509295,0.44734405915343556,0.00013727241630160516,2.4960670041296666e-06
10,15,10,2016,74066.635,55377,GAS,16.141552511415526,0.5524634977088868,0.00038352202660547305,3.0709400588967923e-06
11,15,10,2016,74639.372,55347,GAS,15.95813953488372,0.5493006151423199,0.00015352444280185534,3.0604426755411425e-06
12,15,10,2016,74303.809,55196,GAS,15.949771689497718,0.5346135871488918,0.00036692050385029007,2.974611138964176e-06
13,15,10,2016,73873.268,55938,GAS,15.729399477806789,0.5464044725639596,0.00016379436725115804,3.040865472953045e-06
14,15,10,2016,73106.878,2393,GAS,14.726315789473684,0.6955926151731548,0.00022707787711679245,4.658007735729076e-06
